Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
37,1.0,0.0,0.0,734.0,17.0,35.0,1548.0,0.1,21.605000000000015,0.0,0.0,283.39352679252625,,,,,,,,,,,,,,,,,,,,,7.6754009425032255,7.447281526405529,21.37909778348157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,803.0,18.0,69.0,1617.0,0.1,39.10600000000001,0.0,0.0,290.1839027404785,,,,,,,,,,,,,,,,,,,,,13.995687751938073,11.616404448632041,38.21669271385126,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,849.0,19.0,46.0,1663.0,0.1,33.504999999999995,0.0,0.0,294.9881982803345,,,,,,,,,,,,,,,,,,,,,13.234544036150941,11.24427954628089,32.96210221666818,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,871.0,20.0,22.0,1685.0,0.1,8.105999999999995,0.0,0.0,297.34842801094055,,,,,,,,,,,,,,,,,,,,,2.2070145280664386,2.793669971522931,8.073584776350462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,62.0,1.0,62.0,1747.0,0.1,43.105,0.0,0.0,448.07071232795715,,,,,,,,,,,,,,,,,,,,,17.09781023447578,13.568543648008722,42.129151940190944,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,111.0,2.0,49.0,1796.0,0.1,23.408000000000023,0.0,0.0,453.18586778640747,,,,,,,,,,,,,,,,,,,,,7.205589528459083,7.444579243392937,23.10110522244517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,140.0,3.0,29.0,1825.0,0.1,14.204999999999995,0.0,0.0,456.231326341629,,,,,,,,,,,,,,,,,,,,,4.435747993388663,4.864129943063755,14.10455832027396,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,254.0,4.0,114.0,1939.0,0.1,62.70500000000002,0.0,0.0,467.76347613334656,,,,,,,,,,,,,,,,,,,,,26.492302724310136,17.409309797405182,59.80442653807829,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,301.0,5.0,47.0,1986.0,0.1,27.007000000000023,0.0,0.0,472.478449344635,,,,,,,,,,,,,,,,,,,,,8.793964376910475,9.0970038099278,26.646950929192666,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,384.0,6.0,83.0,2069.0,0.1,27.606000000000062,0.0,0.0,480.8350715637207,,,,,,,,,,,,,,,,,,,,,9.989010196795169,6.658670248464217,26.830546415951485,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,410.0,7.0,26.0,2095.0,0.1,12.104999999999995,0.0,0.0,483.79057478904724,,,,,,,,,,,,,,,,,,,,,3.7407594261576316,4.1641432888514345,12.03179180674158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,470.0,8.0,60.0,2155.0,0.1,37.60699999999999,0.0,0.0,489.73323369026184,,,,,,,,,,,,,,,,,,,,,13.895466258387163,11.894335897672745,36.84692903563901,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,502.0,9.0,32.0,2187.0,0.1,14.705999999999994,0.0,0.0,493.2050495147705,,,,,,,,,,,,,,,,,,,,,4.45062244028279,4.903521069475177,14.592750991142244,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,587.0,10.0,85.0,2272.0,0.1,57.50599999999999,0.0,0.0,501.67033648490906,,,,,,,,,,,,,,,,,,,,,23.011196489829096,17.0014105214214,55.66131526758441,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,619.0,11.0,32.0,2304.0,0.1,14.805999999999994,0.0,0.0,504.96686911582947,,,,,,,,,,,,,,,,,,,,,4.401720055865764,4.981577669808675,14.69451930229759,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,677.0,12.0,58.0,2362.0,0.1,38.806,0.0,0.0,510.90555906295776,,,,,,,,,,,,,,,,,,,,,15.095310614356606,12.926016920703638,38.00644687166378,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,708.0,13.0,31.0,2393.0,0.1,16.506000000000014,0.0,0.0,514.4263017177582,,,,,,,,,,,,,,,,,,,,,5.392055361390102,5.672169491737069,16.37157305834053,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,740.0,14.0,32.0,2425.0,0.1,17.205000000000016,0.0,0.0,517.8718266487122,,,,,,,,,,,,,,,,,,,,,5.61917411619641,5.903876635334213,17.05928794488354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,776.0,15.0,36.0,2461.0,0.1,15.807999999999993,0.0,0.0,521.6962876319885,,,,,,,,,,,,,,,,,,,,,4.495017555276716,5.2182569991226275,15.67751872794721,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,804.0,16.0,28.0,2489.0,0.1,13.605999999999995,0.0,0.0,524.5330924987793,,,,,,,,,,,,,,,,,,,,,4.187900726554885,4.713316189897722,13.515756777454598,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,836.0,17.0,32.0,2521.0,0.1,19.505000000000013,0.0,0.0,527.8581745624542,,,,,,,,,,,,,,,,,,,,,6.9417137123890456,6.764477338348762,19.321488817349437,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,905.0,18.0,69.0,2590.0,0.1,50.205,0.0,0.0,534.7221219539642,,,,,,,,,,,,,,,,,,,,,21.45091770427232,16.038349691692616,48.82248282156551,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,947.0,19.0,42.0,2632.0,0.1,25.60800000000002,0.0,0.0,539.059112071991,,,,,,,,,,,,,,,,,,,,,8.760884041086271,8.781175739143379,25.29059877723006,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,975.0,20.0,28.0,2660.0,0.1,11.205999999999994,0.0,0.0,542.0875580310822,,,,,,,,,,,,,,,,,,,,,3.2146322553384863,3.721754082560136,11.138255669934725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,114.0,1.0,114.0,2774.0,0.1,64.20600000000005,0.0,0.0,718.9611110687256,,,,,,,,,,,,,,,,,,,,,23.294594715263074,17.744579281176108,61.67370193262333,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
